    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                1 1.629e-06 |
  2 |   2                2 1.016e-06 |
  3 |   3                4 1.048e-06 |
  4 |   3                4 1.016e-06 |
  5 |   4                6 1.024e-06 |
  6 |   4                7 1.117e-06 |
  7 |   5                9 1.080e-06 |
  8 |   5               11 1.278e-06 |
  9 |   5                9 1.059e-06 |
 10 |   6               12 1.277e-06 |
 11 |   6               14 6.190e-07 |
 12 |   6               12 2.690e-07 |
 13 |   7               16 3.400e-07 |
 14 |   7               19 3.460e-07 |
 15 |   7               19 3.120e-07 |
 16 |   7               15 2.880e-07 |
 17 |   8               19 3.110e-07 |
 18 |   8               22 3.130e-07 |
 19 |   8               23 3.530e-07 |
 20 |   8               20 3.290e-07 |
 21 |   9               24 9.540e-07 |
 22 |   9               28 7.340e-07 |
 23 |   9               29 6.490e-07 |
 24 |   9               26 5.820e-07 |
 25 |   9               19 4.270e-07 |
 26 |  10               22 4.700e-07 |
 27 |  10               24 4.830e-07 |
 28 |  10               23 4.220e-07 |
 29 |  10               20 3.670e-07 |
 30 |  11               22 3.860e-07 |
 31 |  11               24 3.870e-07 |
 32 |  11               22 3.500e-07 |
 33 |  12               24 3.830e-07 |
 34 |  12               26 3.820e-07 |
 35 |  12               24 3.560e-07 |
 36 |  13               26 3.740e-07 |
 37 |  13               28 3.870e-07 |
 38 |  13               26 3.600e-07 |
 39 |  14               28 3.980e-07 |
 40 |  14               30 4.150e-07 |
 41 |  14               28 3.550e-07 |
 42 |  15               31 4.250e-07 |
 43 |  15               33 4.000e-07 |
 44 |  15               31 4.110e-07 |
 45 |  16               35 4.140e-07 |
 46 |  16               37 4.630e-07 |
 47 |  16               36 4.600e-07 |
 48 |  16               32 4.100e-07 |
 49 |  17               34 4.040e-07 |
 50 |  17               35 4.510e-07 |
 55 |  19               37 1.007e-06 |
 60 |  22               43 7.130e-07 |
 65 |  24               48 6.600e-07 |
 70 |  25               51 6.150e-07 |
 75 |  27               58 6.740e-07 |
 80 |  28               68 7.830e-07 |
 85 |  29               71 7.780e-07 |
 90 |  30               64 9.290e-07 |
 95 |  33               70 9.310e-07 |
100 |  35               74 8.460e-07 |
110 |  40               85 1.217e-06 |
120 |  43               95 1.053e-06 |
130 |  45              106 1.140e-06 |
140 |  47              111 1.172e-06 |
150 |  49              116 1.383e-06 |
160 |  52              109 1.334e-06 |
170 |  57              120 1.315e-06 |
180 |  60              132 1.338e-06 |
190 |  62              144 1.637e-06 |
200 |  64              150 1.679e-06 |
220 |  71              147 2.020e-06 |
240 |  78              169 1.801e-06 |
260 |  82              175 1.855e-06 |
280 |  89              186 1.671e-05 |
300 |  97              205 2.242e-06 |
320 | 102              216 2.375e-06 |
340 | 111              238 2.423e-06 |
360 | 116              248 2.481e-06 |
380 | 120              266 2.964e-06 |
400 | 129              276 2.831e-06 |
420 | 135              297 3.985e-06 |
440 | 139              296 4.203e-06 |
460 | 147              312 3.111e-06 |
480 | 152              336 3.359e-06 |
500 | 159              337 3.424e-06 |
520 | 167              357 3.597e-06 |
540 | 171              389 3.990e-06 |
560 | 178              378 3.917e-06 |
580 | 185              400 4.041e-06 |
600 | 189              418 5.036e-06 |
620 | 196              417 4.239e-06 |
640 | 204              438 4.352e-06 |
660 | 208              447 4.477e-06 |
680 | 215              458 4.526e-06 |
700 | 223              481 4.854e-06 |
720 | 227              484 4.748e-06 |
740 | 236              503 4.813e-06 |
760 | 241              528 6.058e-06 |
780 | 245              529 5.255e-06 |
800 | 253              539 5.304e-06 |
--- + --- ---------------- --------- +
