    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                1 1.391e-06 |
  2 |   2                2 1.476e-06 |
  3 |   3                4 1.425e-06 |
  4 |   3                4 1.072e-06 |
  5 |   4                6 1.400e-06 |
  6 |   4                7 1.297e-06 |
  7 |   5                9 1.465e-06 |
  8 |   5               11 1.767e-06 |
  9 |   5                9 1.194e-06 |
 10 |   6               12 1.214e-06 |
 11 |   6               14 7.920e-07 |
 12 |   6               12 4.220e-07 |
 13 |   7               16 3.840e-07 |
 14 |   7               19 4.240e-07 |
 15 |   7               19 3.880e-07 |
 16 |   7               15 3.630e-07 |
 17 |   8               19 3.780e-07 |
 18 |   8               22 3.700e-07 |
 19 |   8               23 4.360e-07 |
 20 |   8               19 4.060e-07 |
 21 |   9               23 8.790e-07 |
 22 |   9               27 4.990e-07 |
 23 |   9               28 4.620e-07 |
 24 |   9               25 4.410e-07 |
 25 |   9               18 3.780e-07 |
 26 |  10               22 3.700e-07 |
 27 |  10               25 3.890e-07 |
 28 |  10               24 4.080e-07 |
 29 |  10               20 3.500e-07 |
 30 |  11               24 3.550e-07 |
 31 |  11               26 3.980e-07 |
 32 |  11               25 3.890e-07 |
 33 |  11               21 3.130e-07 |
 34 |  12               23 3.470e-07 |
 35 |  12               25 3.450e-07 |
 36 |  12               23 3.270e-07 |
 37 |  13               25 3.810e-07 |
 38 |  13               27 3.740e-07 |
 39 |  13               25 3.390e-07 |
 40 |  14               27 3.780e-07 |
 41 |  14               29 3.720e-07 |
 42 |  14               27 3.480e-07 |
 43 |  15               29 3.850e-07 |
 44 |  15               31 4.070e-07 |
 45 |  15               29 2.848e-06 |
 46 |  16               31 4.010e-07 |
 47 |  16               33 4.130e-07 |
 48 |  16               31 3.710e-07 |
 49 |  17               33 3.970e-07 |
 50 |  17               34 4.580e-07 |
 55 |  19               36 1.397e-06 |
 60 |  22               42 7.570e-07 |
 65 |  24               49 7.680e-07 |
 70 |  26               54 7.010e-07 |
 75 |  27               60 7.860e-07 |
 80 |  28               69 9.020e-07 |
 85 |  29               72 8.980e-07 |
 90 |  30               66 1.048e-06 |
 95 |  32               67 1.074e-06 |
100 |  35               73 9.280e-07 |
110 |  39               82 1.818e-06 |
120 |  42               96 1.132e-06 |
130 |  44              105 1.255e-06 |
140 |  46              109 1.154e-06 |
150 |  48              109 1.240e-06 |
160 |  53              111 1.279e-06 |
170 |  58              121 1.362e-06 |
180 |  61              134 1.397e-06 |
190 |  63              138 1.398e-06 |
200 |  65              150 1.729e-06 |
220 |  73              151 2.798e-06 |
240 |  81              172 1.975e-06 |
260 |  85              180 1.988e-06 |
280 |  91              187 2.038e-06 |
300 |  98              208 2.213e-06 |
320 | 102              211 2.299e-06 |
340 | 111              233 3.977e-06 |
360 | 116              243 2.498e-06 |
380 | 120              264 2.939e-06 |
400 | 129              267 2.753e-06 |
420 | 134              292 5.322e-06 |
440 | 139              294 3.243e-06 |
460 | 147              304 3.198e-06 |
480 | 152              329 3.212e-06 |
500 | 158              326 4.504e-06 |
520 | 165              342 3.487e-06 |
540 | 170              372 3.819e-06 |
560 | 176              363 3.680e-06 |
580 | 183              386 3.899e-06 |
600 | 187              403 5.880e-06 |
620 | 193              398 3.997e-06 |
640 | 201              422 4.105e-06 |
660 | 205              425 4.156e-06 |
680 | 212              437 6.765e-06 |
700 | 220              460 4.513e-06 |
720 | 225              466 5.538e-06 |
740 | 234              488 5.805e-06 |
760 | 239              502 4.843e-06 |
780 | 243              505 5.039e-06 |
800 | 252              524 5.138e-06 |
--- + --- ---------------- --------- +
